protocol,concurrency,run_id,join_latency_ms,throughput_jps,lock_contention_rate,memory_overhead_mb,build_time_ms,probe_count,probe_blocked,write_count,gc_runs,bf_fast_path,bf_false_positive,bf_rebuilds
NHJ,1,1,736.966,67845.7,0.60392,2.82948,26.3696,50000,30196,2794,0,0,0,0
NHJ,1,2,602.692,82961.2,0.54624,2.83353,24.9557,50000,27312,1667,0,0,0,0
NHJ,1,3,559.876,89305.5,0.49946,2.84593,27.1629,50000,24973,1834,0,0,0,0
NHJ,2,1,547.115,91388.4,0.58266,2.90239,23.7758,50000,29133,6560,0,0,0,0
NHJ,2,2,623.361,80210.3,0.6086,2.90793,42.9187,50000,30430,7109,0,0,0,0
NHJ,2,3,589.049,84882.6,0.60832,2.91802,44.1127,50000,30416,6705,0,0,0,0
NHJ,4,1,512.967,97472.2,0.6111,2.98598,41.1272,50000,30555,14055,0,0,0,0
NHJ,4,2,520.655,96032.9,0.60904,2.98436,43.2765,50000,30452,14123,0,0,0,0
NHJ,4,3,508.656,98298.2,0.59686,2.97861,43.3187,50000,29843,14023,0,0,0,0
NHJ,8,1,703.109,71112.7,0.66052,3.32849,41.8473,50000,33026,52238,0,0,0,0
NHJ,8,2,717.211,69714.5,0.66036,3.30815,44.0238,50000,33018,50428,0,0,0,0
NHJ,8,3,681.797,73335.6,0.66132,3.34583,42.6125,50000,33066,51651,0,0,0,0
NHJ,16,1,1603.94,31173.2,0.7029,4.89517,42.2835,50000,35145,187716,0,0,0,0
NHJ,16,2,1658.73,30143.5,0.70064,4.93352,45.3435,50000,35032,193325,0,0,0,0
NHJ,16,3,1410.27,35454.3,0.69072,4.68468,45.1627,50000,34536,167552,0,0,0,0
ECHI,1,1,456.791,109459,0,2.93066,36.7569,50000,0,1000,0,0,0,0
ECHI,1,2,436.583,114526,0,2.93491,45.5594,50000,0,1000,0,0,0,0
ECHI,1,3,399.293,125221,0,2.94975,24.6892,50000,0,1000,0,0,0,0
ECHI,2,1,408.725,122332,0,2.53861,41.9902,50000,0,1001,0,0,0,0
ECHI,2,2,387.934,128888,0,2.547,42.2628,50000,0,1001,0,0,0,0
ECHI,2,3,390.239,128127,0,2.5554,42.8561,50000,0,1001,0,0,0,0
ECHI,4,1,378.798,131996,0,2.53855,44.4161,50000,0,1003,0,0,0,0
ECHI,4,2,380.123,131536,0,2.54664,41.2632,50000,0,1003,0,0,0,0
ECHI,4,3,378.423,132127,0,2.56591,43.8768,50000,0,2002,0,0,0,0
ECHI,8,1,377.247,132539,0,2.54925,42.4623,50000,0,2006,0,0,0,0
ECHI,8,2,382.309,130784,0,2.55896,44.8054,50000,0,2006,0,0,0,0
ECHI,8,3,377.733,132369,0,2.55472,43.7393,50000,0,1007,0,0,0,0
ECHI,16,1,382.391,130756,0,2.54998,37.8641,50000,0,2014,0,0,0,0
ECHI,16,2,374.626,133466,0,2.55901,44.7638,50000,0,2014,0,0,0,0
ECHI,16,3,377.824,132337,0,2.56599,44.7243,50000,0,2014,0,0,0,0
MPI-MVCC,1,1,17286.6,2892.41,0,7.02279,201.945,50000,0,1331,31,0,0,0
MPI-MVCC,1,2,17182.6,2909.92,0,5.76537,146.825,50000,0,1106,31,0,0,0
MPI-MVCC,1,3,20098.7,2487.72,0,7.39668,204.393,50000,0,1471,36,0,0,0
MPI-MVCC,2,1,26191.1,1909.04,0,4.60613,213.254,50000,0,2781,46,0,0,0
MPI-MVCC,2,2,26348.1,1897.67,0,5.78152,221.283,50000,0,2591,46,0,0,0
MPI-MVCC,2,3,27631.7,1809.52,0,7.68919,209.767,50000,0,2855,48,0,0,0
MPI-MVCC,4,1,31489.9,1587.81,0,4.21384,221.909,50000,0,4095,53,0,0,0
MPI-MVCC,4,2,30847.6,1620.87,0,4.00668,216.264,50000,0,4104,52,0,0,0
MPI-MVCC,4,3,30865.2,1619.94,0,4.02069,234.607,50000,0,4252,52,0,0,0
MPI-MVCC,8,1,31187.2,1603.22,0,3.99583,231.91,50000,0,4421,52,0,0,0
MPI-MVCC,8,2,30990.5,1613.4,0,4.24085,221.699,50000,0,4354,52,0,0,0
MPI-MVCC,8,3,31464.3,1589.1,0,4.02535,222.041,50000,0,4499,52,0,0,0
MPI-MVCC,16,1,31047,1610.46,0,4.22089,202.699,50000,0,4450,52,0,0,0
